No,Review
1,"Have not been able to access my account for a long time. I put in the right password, then they make me verify with a code sent to my phone, I put in the code, and it STILL says security cannot be verified. And who has time to sit on hold all day. Chat service is useless as well."
2,"I have been trying to obtain the 2023 fee Schedule and has has been nearly impossible. I have called, left messages, written letter and emailed them, not results. I am very disappointed because I am not able to update and complete the fee schedule due to this."
3,"Dental and prescription cover is good. Vision and Medical Need improvement. I bought the highest level I could in my company. All specialist are 80 dollars. UHC really tries to force the patient to use virtual appointment or Urgent Care. Their Optum Virtual care told me to wait an additional three day (7) if I still have a fever to then go to urgent care. They consider biopsy, a surgery and are taking from your high deductible (2-5k). When I complained, appeal was denied and the comments on the price said to use virtual care or urgent care. Really? Their customer services is nice yet all this is out of their hands. One of the worst insurances I’ve had."
4,"If you are looking into using All Savers Insurance for your employees, please look again. It is a complete rip off, doesn't cover anything for diabetics and the representatives will speak to you like a dirty dog. I promise the employees the money that will come out of their paychecks, whether their employer contributes or not, will leave them paying the majority, if not all, for everything. Be smart and look elsewhere or maybe even consider self pay options!"
5,"I have had United for several years. In January they outsourced approvals to Evicore. Basically they are the middle man who denies everything and makes you appeal it all. United is using them as a scapegoat to blame for denials. I have never had an issue with meds or procedures. In one month they have denied meds I have already been on for years. Also, denied me for an MRI because my pain has become worse. They advised it was because I haven't been to therapy for at least 6 weeks. Therapy for what. They can't fix something when they don't know what's wrong. I was told by Envicore not to worry. Have the doctor complete the ""APPEALS"" process (correctly) and it should be approved. So, in short. United blames Evicore who then blames the doctors."
6,"I paid for COBRA for 18 months to avoid Obamacare. Now I see that I was right in doing so. Working with an agent in the Marketplace, I was set up with United Healthcare. I had no idea what I was getting myself into. Thankfully, I have to endure this silliness only 2 more weeks. Medicare is looming. First off, my 2022 plan (for only the month of December) was decent. Customer Service, on the other hand, was not. I was not familiar with having an HMO and asked them several questions. I didn't feel confident with the reps, so would call again and then again with the same questions...and received different answers. My last question (posed to just one rep) was whether a mammogram is covered under my 2022 plan. I was told that she wasn't sure, but my plan in 2023 absolutely included this benefit, so I decided not to press further.So, it's now 2023 and I go for my mammogram. As I realized that it's a preventative care visit, and I was also assured that it was covered, I had no concerns. That is until the gal at the hospital told me that it's NOT covered. Naturally, I was taken aback, further disillusioned with UHC, but realizing that Medicare starts soon, so I just resolved myself to move on.Today I received a bill in the mail for the past two months' premium. I am a dog with a bone and previously called into the UHC queue a few times to MAKE SURE that I am on auto pay. They assured me that I was. I just checked their site (yes, I'm on auto-pay), then my charge card (yes, I've been charged). Unbelievable. I truly don't know why this company is rated higher than a zero."
7,"We, as I my husband and I have a 10,500 family deductible and 2500. Dollar deductible for each of us. Because I am not sick enough I can not meet my deductible, I do have severe double carotid stenosis with history of two heart attacks and a stroke. Because I can’t meet this deductible, my surgery is not covered. I would have to pay 100% of it. A life or death surgery. Which I can not afford."
8,"This insurance company is only concerned about saving money and not providing quality care when it is most needed - denying care after stroke events and expecting patients to pay for all medical care. Denial claims are worded to fit their bottom line. Requiring progress and then stating that they will stop coverage is counterproductive to any recovery or medical plan for a patient, especially when a patient has a half dozen doctors arguing with the insurance company about poor decisions and a patient’s need for quality care. They are happy to take your money but when quality care is most needed, this company fails miserably. They should be investigated."
9,"Made the mistake to switch to United Health Care Advantage this year. Their total lack of customer service is obvious: Either they don't pick up the phone, or whoever will answer the phone only speak a broken English, and you don't get anywhere. I had to file a complaint with Medicare."
10,"I changed my Medicare insurance to UHC starting January 1, 2023, what a disaster. First, I haven't received my member card yet, after almost 45 days. Called them three times, every time they are shocked and sorry but the same happens again. When I first called to inquire about their Medicare, my health insurance was with them and I was totally satisfied, the fast talking salesman promised the moon. He said that I would get a membership to a gym, that my eyecare is covered etc. I called back to confirm and the lady who answered the call confirmed. When I called and asked about how to join a gym, the rep said my plan used to offer gym membership but they ended it. When I called to get an eye exam, I learned that they only cover three physicians that no one had heard of and I could not find two of them on internet. The one that did have a website, had one pager phone number and address on it. Same horrible service with their drug plans, they called the wrong doctor to get my medications. Just a terrible headache. Their customer service phone is manned by untrained reps. I had to spend an hour and half to get my medication straightened out with them. What a waste, what a mistake, just horrible."
